data|familias_endividadas_abs|familias_contas_em_atraso_abs|familias_sem_condicao_de_pagar_abs|familias_endividadas_perc|familias_contas_em_atraso_perc|familias_sem_condicao_de_pagar_perc|prazo_comprometimento_renda_3_meses|prazo_comprometimento_renda_3_a_6_meses|prazo_comprometimento_renda_6_a_12_meses|prazo_comprometimento_renda_mais_de_12_meses
|Endividadas|Contas em Atraso|"Não Terão Condições
de Pagar"|Endividadas|Contas em Atraso|"Não Terão Condições
de Pagar"|Até 3 Meses|De 3 a 6 Meses|"De 6 Meses
a 1 Ano"|"Por Mais de
1 Ano"
2004-02-01 00:00:00|0.6538535952107266|0.2571663684684439|0.07297512365724404|2345064.227123937|922334.3811703911|261727.32430016814||||
2004-03-01 00:00:00|0.689035591153757|0.29439307947696297|0.07590780150764466|2471245.4406695017|1055849.022550353|272245.4555256098||||
2004-04-01 00:00:00|0.6754169527229026|0.31011054442392333|0.09577625866954992|2422401.812615366|1112220.1506716448|343504.23345358355||||
2004-05-01 00:00:00|0.6655277126390846|0.3084569426436171|0.08351635500039661|2386933.776156031|1106289.4615857268|299533.74566686247||||
2004-06-01 00:00:00|0.7214166666666662|0.29032083333333436|0.11495416666666702|2587381.074666665|1041243.797733337|412286.33746666793||||
2004-07-01 00:00:00|0.6286514783224613|0.2844074932231834|0.1085996013688998|2254676.1292449003|1020035.4378547576|389495.5110983975||||
2004-08-01 00:00:00|0.666893133116883|0.2900061038961027|0.11346961038960995|2391830.894931428|1040115.0117942814|406961.934811427||||
2004-09-01 00:00:00|0.6610127900468885|0.25459097113682955|0.08870953917362205|2370740.879861287|913097.646529431|318159.24611329235||||
2004-10-01 00:00:00|0.6757737500979235|0.24583819036427582|0.08409603446925129|2423681.4763912056|881705.5532108054|301612.78231293487||||
2004-11-01 00:00:00|0.651225401249391|0.2634467566708046|0.07800419866844967|2335638.1358921756|944859.1693090274|279764.2426419575||||
2004-12-01 00:00:00|0.6973889459449643|0.2213296642020779|0.044875544152468326|2501204.981522101|793805.03789135|160947.39561806392||||
2005-01-01 00:00:00|0.6771920173852904|0.23628168882145464|0.062301201120374794|2428768.1317288307|847430.8928454341|223445.00225185556||||
2005-02-01 00:00:00|0.633584787307201|0.24629531565140148|0.07072818690560494|2272369.580051321|883345.0458525897|253668.62272618545||||
2005-03-01 00:00:00|0.6136343570347951|0.275436777609682|0.08935136157337364|2200816.8032672894|987861.7151268976|320461.1601210286||||
2005-04-01 00:00:00|0.632623237423491|0.28405300089629|0.05821742537482448|2268920.9544699984|1018764.0411985691|208798.4261947185||||
2005-05-01 00:00:00|0.5293609021178586|0.2356716759601047|0.07246589046833721|1898567.6975509592|845243.0646378424|259900.9452096245||||
2005-06-01 00:00:00|0.5621324633764753|0.28069405312188844|0.07603617639738293|2016103.819608703|1006717.0809551403|272705.875662153||||
2005-07-01 00:00:00|0.6046234053926154|0.29345432695386253|0.07723377221478628|2168498.772895966|1052482.1603411827|277001.086593953||||
2005-08-01 00:00:00|0.671171342528893|0.29683760877034426|0.074826341007387|2407174.8127774657|1064616.3953078853|268366.76716054167||||
2005-09-01 00:00:00|0.6644319943342268|0.24771893957434993|0.05182619576239012|2383003.9517755457|888450.9129137141|185876.1022352935||||
2005-10-01 00:00:00|0.5918579507728184|0.24019201409954308|0.07742313064917188|2122715.112469335|861455.383944406|277680.2259209131||||
2005-11-01 00:00:00|0.6268634488063719|0.2431501079515477|0.06355974950285549|2248263.311320619|872064.6703712485|227958.8212649773||||
2005-12-01 00:00:00|0.6075186720068946|0.2615694289508118|0.04858544042022768|2178882.7276755436|938126.0808760972|174253.04245947834||||
2006-01-01 00:00:00|0.6288059551696|0.24604267582118775|0.05540325051804486|2255230.1647825153|882438.9460276129|198705.3092739824||||
2006-02-01 00:00:00|0.6710867565922689|0.25811920162986235|0.04459392401075031|2406871.442947357|925751.743983147|159937.3570944283||||
2006-03-01 00:00:00|0.6422419562055873|0.2713086190438859|0.05562880354845223|2303418.758706113|973055.9588422301|199514.2615330233||||
2006-04-01 00:00:00|0.6080135742718928|0.2708463422885784|0.07367648716209438|2180657.7085062233|971397.9903155705|264242.78414849204||||
2006-05-01 00:00:00|0.5984061961829674|0.22717088568971067|0.05493702250022176|2146200.577983706|814754.7423109466|197033.16943367536||||
2006-06-01 00:00:00|0.5742400246008175|0.22516338041968717|0.05189722964137582|2059527.9269515206|807554.7684498598|186130.8672312243||||
2006-07-01 00:00:00|0.5192610464680469|0.20542680866946078|0.060742841333666524|1862344.2824669515|736769.0012436638|217855.90124275233||||
2006-08-01 00:00:00|0.554110108615501|0.20658406944027943|0.06670933380854106|1987331.4196325357|740919.5494015065|239254.89356567917||||
2006-09-01 00:00:00|0.5514470344779088|0.19227529243105274|0.051992493189440936|1977780.2296719851|689600.7200121587|186472.53261373923||||
2006-10-01 00:00:00|0.6215462830143008|0.2523615235865317|0.09066768785203673|2229193.1473267144|905101.6704657563|325182.2011765896||||
2006-11-01 00:00:00|0.7003633849649352|0.24018780964235742|0.0834632504848196|2511872.890351519|861440.3045409849|299343.2848348191||||
2006-12-01 00:00:00|0.6121997567739403|0.26209268645582745|0.08585746023373085|2195671.569262927|940002.7585690459|307930.1851371622||||
2007-01-01 00:00:00|0.5790700953990602|0.23758106038865337|0.08544797656987566|2076851.1111114004|852091.1253535962|306461.560511203||||
2007-02-01 00:00:00|0.6144303137598609|0.24616332824599738|0.08016895057876622|2203671.5243485263|882871.6693274605|287528.18598136125||||
