DCM_HUB_REACH_BBI

Date/Time Generated,3/7/21 9:35 PM
Report Time Zone,America/Sao_Paulo
Account ID,563003
Date Range,1/1/21 - 3/7/21
Advertiser,Equals:Performance | Abertura de Conta PF (9599074)
Advertiser,Equals:Performance | Acordo (Renegociacao) (9595141)
Advertiser,Equals:Performance | Cartoes de Credito (9595196)
MRC Accredited Metrics,None,Active View metrics are accredited only when Measurement Source = Measured
"Reporting numbers are finalized after seven days, unless communicated otherwise."

Report Fields
Advertiser,Country,Month,Unique Reach: Impression Reach,Unique Reach: Click Reach,Unique Reach: Total Reach
Performance | Abertura de Conta PF,CONGO DEMOCRATIC REP,2021-03,-,-,-
Performance | Abertura de Conta PF,Cambodia (Kampuchea),2021-01,-,-,-
Performance | Abertura de Conta PF,Cambodia (Kampuchea),2021-02,-,0,-
Performance | Abertura de Conta PF,Cambodia (Kampuchea),2021-03,-,0,-
Performance | Abertura de Conta PF,Cameroon,2021-01,-,0,-
Performance | Abertura de Conta PF,Cameroon,2021-02,-,-,-
Performance | Abertura de Conta PF,Cameroon,2021-03,-,-,-
Performance | Abertura de Conta PF,Canada,2021-01,-,158,-
Performance | Abertura de Conta PF,Canada,2021-02,6217,-,6286
Performance | Abertura de Conta PF,Canada,2021-03,760,-,777
Performance | Abertura de Conta PF,Cape Verde Islands,2021-01,-,-,-
Performance | Abertura de Conta PF,Cape Verde Islands,2021-02,-,-,-
Performance | Abertura de Conta PF,Cape Verde Islands,2021-03,-,-,-
Performance | Abertura de Conta PF,Cayman Islands (BWI),2021-01,-,0,-
Performance | Abertura de Conta PF,Cayman Islands (BWI),2021-02,-,0,-
Performance | Abertura de Conta PF,Cayman Islands (BWI),2021-03,-,0,-
Performance | Abertura de Conta PF,Central African Rep.,2021-01,-,0,-
Performance | Abertura de Conta PF,Central African Rep.,2021-02,-,0,-
Performance | Abertura de Conta PF,Chad,2021-01,-,0,-
Performance | Abertura de Conta PF,Chad,2021-02,-,0,-
Performance | Abertura de Conta PF,Chile,2021-01,-,203,1940
Performance | Abertura de Conta PF,Chile,2021-02,1805,224,2000
Performance | Abertura de Conta PF,Chile,2021-03,601,-,679
Performance | Abertura de Conta PF,"China, Peoples Rep.",2021-01,168,-,226
Performance | Abertura de Conta PF,"China, Peoples Rep.",2021-02,136,-,172
Performance | Abertura de Conta PF,"China, Peoples Rep.",2021-03,-,-,-
Performance | Abertura de Conta PF,Colombia,2021-01,-,271,-
Performance | Abertura de Conta PF,Colombia,2021-02,-,-,-
Performance | Abertura de Conta PF,Colombia,2021-03,182,-,190
Performance | Abertura de Conta PF,"Comoros, F & I Rep.",2021-01,-,0,-
Performance | Abertura de Conta PF,"Comoros, F & I Rep.",2021-02,-,0,-
Performance | Abertura de Conta PF,"Comoros, F & I Rep.",2021-03,-,0,-
Performance | Abertura de Conta PF,"Congo, Rep. of (Zaire)",2021-01,-,-,-
Performance | Abertura de Conta PF,"Congo, Rep. of (Zaire)",2021-02,-,0,-
Performance | Abertura de Conta PF,"Congo, Rep. of (Zaire)",2021-03,-,0,-
Performance | Abertura de Conta PF,Costa Rica,2021-01,170,-,172
Performance | Abertura de Conta PF,Costa Rica,2021-02,197,-,198
Performance | Abertura de Conta PF,Costa Rica,2021-03,-,0,-
Performance | Abertura de Conta PF,Cote D'Ivoire,2021-01,-,0,-
Performance | Abertura de Conta PF,Cote D'Ivoire,2021-02,-,-,-
Performance | Abertura de Conta PF,Cote D'Ivoire,2021-03,-,0,-
Performance | Abertura de Conta PF,Croatia,2021-01,-,0,-
Performance | Abertura de Conta PF,Croatia,2021-02,-,0,-
Performance | Abertura de Conta PF,Croatia,2021-03,-,0,-
Performance | Abertura de Conta PF,Cyprus,2021-01,-,0,-
Performance | Abertura de Conta PF,Cyprus,2021-02,-,0,-
Performance | Abertura de Conta PF,Cyprus,2021-03,-,-,-
Performance | Abertura de Conta PF,Czech Republic,2021-01,-,-,-
Performance | Abertura de Conta PF,Czech Republic,2021-02,-,-,-
Performance | Abertura de Conta PF,Czech Republic,2021-03,-,-,-
Performance | Abertura de Conta PF,Denmark,2021-01,-,-,-
Performance | Abertura de Conta PF,Denmark,2021-02,-,-,-
Performance | Abertura de Conta PF,Denmark,2021-03,-,-,-
Performance | Abertura de Conta PF,Dominica (BWI),2021-01,-,0,-
Performance | Abertura de Conta PF,Dominican Republic,2021-01,-,-,-
Performance | Abertura de Conta PF,Dominican Republic,2021-02,314,-,318
Performance | Abertura de Conta PF,Dominican Republic,2021-03,-,-,-
Performance | Abertura de Conta PF,Ecuador,2021-01,-,-,-
Performance | Abertura de Conta PF,Ecuador,2021-02,600,-,612
Performance | Abertura de Conta PF,Ecuador,2021-03,-,-,-
Performance | Abertura de Conta PF,"Egypt, Arab Rep. of",2021-01,-,-,-
Performance | Abertura de Conta PF,"Egypt, Arab Rep. of",2021-02,362,-,369
Performance | Abertura de Conta PF,"Egypt, Arab Rep. of",2021-03,-,-,-
Performance | Abertura de Conta PF,El Salvador,2021-01,-,-,-
Performance | Abertura de Conta PF,El Salvador,2021-02,-,-,-
Performance | Abertura de Conta PF,El Salvador,2021-03,-,-,-
Performance | Abertura de Conta PF,Equatorial Guinea,2021-01,-,0,-
Performance | Abertura de Conta PF,Equatorial Guinea,2021-02,-,0,-
Performance | Abertura de Conta PF,Equatorial Guinea,2021-03,-,0,-
Performance | Abertura de Conta PF,Estonia,2021-01,-,0,-
Performance | Abertura de Conta PF,Estonia,2021-02,-,-,-
Performance | Abertura de Conta PF,Estonia,2021-03,-,0,-
Performance | Abertura de Conta PF,Ethiopia,2021-01,-,0,-
Performance | Abertura de Conta PF,Ethiopia,2021-02,-,0,-
Performance | Abertura de Conta PF,Ethiopia,2021-03,-,0,-
Performance | Abertura de Conta PF,Faroe (Faeroe) Is.,2021-01,-,0,-
Performance | Abertura de Conta PF,Faroe (Faeroe) Is.,2021-02,-,0,-
Performance | Abertura de Conta PF,Fiji Islands (Suva),2021-02,-,0,-
Performance | Abertura de Conta PF,Finland,2021-01,-,-,208
Performance | Abertura de Conta PF,Finland,2021-02,-,-,101
Performance | Abertura de Conta PF,Finland,2021-03,-,134,174
Performance | Abertura de Conta PF,France,2021-01,2510,308,2776
Performance | Abertura de Conta PF,France,2021-02,579,149,717
Performance | Abertura de Conta PF,France,2021-03,310,-,330
Performance | Abertura de Conta PF,French Guiana,2021-01,-,-,-
Performance | Abertura de Conta PF,French Guiana,2021-02,-,-,-
Performance | Abertura de Conta PF,French Guiana,2021-03,-,-,-
Performance | Abertura de Conta PF,French Polynesia,2021-01,-,0,-
Performance | Abertura de Conta PF,French Polynesia,2021-02,-,0,-
Performance | Abertura de Conta PF,French Polynesia,2021-03,-,0,-
Performance | Abertura de Conta PF,Gabon Rep.,2021-01,-,0,-
Performance | Abertura de Conta PF,Gabon Rep.,2021-02,-,0,-
Performance | Abertura de Conta PF,Gabon Rep.,2021-03,-,0,-
Performance | Abertura de Conta PF,Gambia,2021-01,-,0,-
Performance | Abertura de Conta PF,Gambia,2021-02,-,0,-
Performance | Abertura de Conta PF,Gambia,2021-03,-,0,-
Performance | Abertura de Conta PF,Georgia,2021-01,-,0,-
Performance | Abertura de Conta PF,Georgia,2021-02,-,0,-
Performance | Abertura de Conta PF,Georgia,2021-03,0,-,-
Performance | Abertura de Conta PF,Germany,2021-01,2866,-,2954
Performance | Abertura de Conta PF,Germany,2021-02,348,-,401
Performance | Abertura de Conta PF,Germany,2021-03,590,-,634
Performance | Abertura de Conta PF,Ghana,2021-01,-,-,-
Performance | Abertura de Conta PF,Ghana,2021-02,-,-,-
Performance | Abertura de Conta PF,Ghana,2021-03,-,-,-
Performance | Abertura de Conta PF,Gibraltar,2021-01,-,0,-
Performance | Abertura de Conta PF,Gibraltar,2021-02,-,0,-
Performance | Abertura de Conta PF,Gibraltar,2021-03,-,0,-
Performance | Abertura de Conta PF,Greece,2021-01,-,-,-
Performance | Abertura de Conta PF,Greece,2021-02,-,0,-
Performance | Abertura de Conta PF,Greece,2021-03,-,0,-
Performance | Abertura de Conta PF,Greenland,2021-02,-,0,-
Performance | Abertura de Conta PF,Grenada (BWI),2021-02,-,0,-
Performance | Abertura de Conta PF,Grenadines & St. Vinc.,2021-01,-,0,-
Performance | Abertura de Conta PF,Grenadines & St. Vinc.,2021-02,-,0,-
Performance | Abertura de Conta PF,Guadeloupe (Fr. Ant.),2021-01,-,-,-
Performance | Abertura de Conta PF,Guadeloupe (Fr. Ant.),2021-02,-,0,-
Performance | Abertura de Conta PF,Guadeloupe (Fr. Ant.),2021-03,-,-,-
Performance | Abertura de Conta PF,Guam,2021-02,-,0,-
Performance | Abertura de Conta PF,Guatemala,2021-01,-,-,-
Performance | Abertura de Conta PF,Guatemala,2021-02,261,-,262
Performance | Abertura de Conta PF,Guatemala,2021-03,-,0,-
Performance | Abertura de Conta PF,Guinea People Rep.,2021-01,-,0,-
Performance | Abertura de Conta PF,Guinea People Rep.,2021-02,-,0,-
Performance | Abertura de Conta PF,Guinea People Rep.,2021-03,-,0,-
Performance | Abertura de Conta PF,Guinea-Bissau,2021-01,-,-,-
Performance | Abertura de Conta PF,Guinea-Bissau,2021-02,-,-,-
Performance | Abertura de Conta PF,Guinea-Bissau,2021-03,-,0,-
Performance | Abertura de Conta PF,Guyana,2021-01,-,-,-
Performance | Abertura de Conta PF,Guyana,2021-02,-,-,-
Performance | Abertura de Conta PF,Guyana,2021-03,-,0,-
Performance | Abertura de Conta PF,Haiti,2021-01,-,-,-
Performance | Abertura de Conta PF,Haiti,2021-02,-,-,-
Performance | Abertura de Conta PF,Haiti,2021-03,-,0,-
Performance | Abertura de Conta PF,"Honduras, Rep. of",2021-01,-,-,-
Performance | Abertura de Conta PF,"Honduras, Rep. of",2021-02,162,-,162
Performance | Abertura de Conta PF,"Honduras, Rep. of",2021-03,-,0,-
Performance | Abertura de Conta PF,Hong Kong,2021-01,105,30063,30156
Performance | Abertura de Conta PF,Hong Kong,2021-02,-,-,-
Performance | Abertura de Conta PF,Hong Kong,2021-03,-,-,-
Performance | Abertura de Conta PF,Hungary,2021-01,-,-,-
Performance | Abertura de Conta PF,Hungary,2021-02,-,-,-
Performance | Abertura de Conta PF,Hungary,2021-03,-,0,-
Performance | Abertura de Conta PF,Iceland,2021-01,-,-,-
Performance | Abertura de Conta PF,Iceland,2021-02,-,0,-
