Mês|Famílias Endividadas (%)|Famílias Endividadas (%)|Famílias Endividadas (%)|Famílias Endividadas (%)|Famílias com Contas em Atraso (%)|Famílias com Contas em Atraso (%)|Famílias com Contas em Atraso (%)|Famílias com Contas em Atraso (%)|Famílias que Não Terão Condições de Pagar (%)|Famílias que Não Terão Condições de Pagar (%)|Famílias que Não Terão Condições de Pagar (%)
Unnamed: 0_level_1|Total|Até 10 SM|+ de 10 SM|+ de 10 SM|Total|Até 10 SM|+ de 10 SM|+ de 10 SM|Total|Até 10 SM|+ de 10 SM
2010-01-01 00:00:00|0.44305555555555554|0.45720361509835195|0.3476702508960573|0.3476702508960573|0.1398148148148148|0.14885699096225413|0.07885304659498207|0.07885304659498207|0.05694444444444444|0.06220095693779905|0.02150537634408602
2010-02-01 00:00:00|0.4288337924701561|0.463768115942029|0.265625|0.265625.1|0.12304866850321397|0.14325529542920848|0.028645833333333336|0.028645833333333336.1|0.0472910927456382|0.05574136008918617|0.0078125
2010-03-01 00:00:00|0.49121996303142323|0.5120514193893948|0.3602693602693603||0.1511090573012939|0.16711301553294058|0.050505050505050504||0.04251386321626617|0.048741296197107674|0.003367003367003367
2010-04-01 00:00:00|0.45603644646924835|0.48344370860927155|0.3263707571801567||0.14533029612756265|0.16942604856512145|0.03133159268929504||0.05694760820045559|0.06788079470198677|0.0052219321148825075
2010-05-01 00:00:00|0.4440315838365072|0.4678204434829638|0.29934210526315785||0.14026939154667906|0.15792320173066524|0.03289473684210526||0.04598235020901068|0.052460789616008655|0.006578947368421052
2010-06-01 00:00:00|0.42117537313432835|0.4357482813326282|0.31225296442687744||0.13432835820895522|0.14701216287678476|0.039525691699604744||0.04291044776119403|0.048122686409307246|0.003952569169960475
2010-07-01 00:00:00|0.5154449054863992|0.5440778799351|0.35||0.14799446749654216|0.16928069226608977|0.025||0.06131857999077915|0.07084910762574365|0.00625
2010-08-01 00:00:00|0.5021037868162693|0.5309250136836343|0.33333333333333337||0.13978494623655915|0.1538040503557745|0.057692307692307696||0.049088359046283316|0.056376573617952924|0.00641025641025641
2010-09-01 00:00:00|0.509090909090909|0.5313531353135313|0.3853211009174312||0.14731934731934732|0.16336633663366334|0.0581039755351682||0.0662004662004662|0.07315731573157315|0.027522935779816515
2010-10-01 00:00:00|0.49814298978644383|0.5365987892129884|0.29080118694362017||0.15506035283194056|0.17886626307099615|0.026706231454005934||0.06778087279480037|0.07980187121629058|0.0029673590504451035
2010-11-01 00:00:00|0.5013863216266174|0.5462653288740246|0.28378378378378377||0.17210376993509008|0.19379952538891743|0.06902848794740686||0.05783432919227959|0.0679998334697956|0.01022644265887509
2010-12-01 00:00:00|0.4571033210332104|0.49575070821529743|0.2878411910669975||0.1319188191881919|0.15410764872521246|0.0347394540942928||0.04289667896678968|0.051558073654390926|0.004962779156327543
2011-01-01 00:00:00|0.5120593692022264|0.547550432276657|0.3657957244655582||0.14749536178107608|0.17233429394812677|0.04513064133016627||0.05844155844155845|0.06743515850144091|0.02137767220902613
2011-02-01 00:00:00|0.538250114521301|0.5769442912300056|0.34864864864864864||0.15300045808520388|0.17484831770546058|0.04594594594594595||0.044434264773247835|0.05184776613348043|0.008108108108108109
2011-03-01 00:00:00|0.5279048490393412|0.5554942020982883|0.3946666666666667||0.17200365965233302|0.1932633903920486|0.06933333333333334||0.06404391582799633|0.07344008834897847|0.018666666666666668
2011-04-01 00:00:00|0.48310967144840344|0.5054629097182288|0.39099526066350715||0.14345210550670984|0.16331224841863137|0.06161137440758295||0.050902360018509944|0.05980448533640022|0.014218009478672987
2011-05-01 00:00:00|0.4571026722925457|0.4763231197771588|0.35502958579881655||0.14392873886544771|0.15598885793871867|0.07988165680473372||0.05344585091420534|0.06016713091922005|0.017751479289940825
2011-06-01 00:00:00|0.4694548872180451|0.4982954545454546|0.3315217391304348||0.15883458646616544|0.17727272727272728|0.07065217391304349||0.062030075187969935|0.07272727272727274|0.010869565217391308
2011-07-01 00:00:00|0.4727272727272727|0.4900662251655629|0.3783783783783784||0.1547785547785548|0.17218543046357618|0.06006006006006006||0.05967365967365968|0.06677704194260486|0.021021021021021023
2011-08-01 00:00:00|0.45075046904315197|0.48013620885357555|0.3108108108108108||0.1196060037523452|0.13507377979568674|0.04594594594594595||0.0548780487804878|0.06242905788876278|0.018918918918918923
2011-09-01 00:00:00|0.42471590909090906|0.4528083381586566|0.2987012987012987||0.12073863636363634|0.13491603937463809|0.05714285714285714||0.05066287878787878|0.058482918355529816|0.015584415584415584
2011-10-01 00:00:00|0.43011257035647277|0.45545102379634755|0.28923076923076924||0.10834896810506567|0.12230215827338128|0.03076923076923077||0.04643527204502814|0.052573325954620914|0.01230769230769231
2011-11-01 00:00:00|0.4104967197750703|0.4246430460074035|0.3004115226337448||0.08013120899718838|0.08778424114225279|0.020576131687242795||0.03327085285848173|0.036488630354309895|0.008230452674897118
2011-12-01 00:00:00|0.412809724170173|0.4239873750657549|0.3235294117647059||0.10705937353903693|0.11309836927932669|0.05882352941176471||0.0327255726975222|0.035244608100999476|0.012605042016806723
2012-01-01 00:00:00|0.4241443108233117|0.436656282450675|0.3220338983050848||0.10453283996299721|0.11007268951194184|0.05932203389830509||0.03145235892691951|0.03426791277258567|0.008474576271186442
2012-02-01 00:00:00|0.427598729005901|0.44579587519830777|0.3173076923076923||0.1211983658647299|0.13484928609201483|0.038461538461538464||0.03903767589650476|0.043363299841353786|0.012820512820512818
