ano_mes|year|page_path|account_id|account_name|webproperty_id|webproperty_name|webproperty_level|webproperty_website_url|profile_currency|profile_type|profile_website_url|profile_id|profile_name|users|bounces|new_users|pageviews|sessions|time_on_page|unique_pageviews|upload_time|info|period
12|2020|/poa/agenda/exposicoes/ceia|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|14|0|0|25|1|1428.0|18|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/agenda/exposicoes/exp_1|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|257|43|24|349|51|32151.0|303|2021-02-21 23:33:18.052801|basic|month
12|2020|"/poa/agenda/exposicoes/exp_1?amp;amp;utm_medium=social-ads&amp;amp;utm_campaign=caps|pf|awar|face-feeds|farol-snt|cpm|na|snt|rede-social|interesses&amp;amp;utm_content=nonotak|farol-snt|interesses|artes-e-exposicoes|video|caps-haus|social-ads|m6290-15495-1&amp;amp;utm_mmm=:m6290-g15495-p15495[t550]5680:&amp;amp;utm_adid=m6290-15495-1&amp;amp;utm_publisher_id=&amp;amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|2|2|1|2|2|0.0|2|2021-02-21 23:33:18.052801|basic|month
12|2020|"/poa/agenda/exposicoes/exp_1?amp;amp;utm_medium=social-ads&amp;amp;utm_campaign=caps|pf|awar|face-instagram|farol-snt|cpm|na|snt|rede-social|interesses&amp;amp;utm_content=nonotakgigantes|farol-snt|interesses|todos-que-engajaram-com-farolpoa|video|caps-haus|social-ads|m6569-16408-1&amp;amp;utm_mmm=:m6569-g16408-p16408[t550]5948:&amp;amp;utm_adid=m6569-16408-1&amp;amp;utm_publisher_id=&amp;amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|10|7|7|13|10|1175.0|10|2021-02-21 23:33:18.052801|basic|month
12|2020|"/poa/agenda/exposicoes/exp_1?amp;utm_medium=social-ads&amp;utm_campaign=caops|pf|awar|face-feeds|farol-snt|cpm|na|snt|rede-social|interesses&amp;utm_content=nonotakgigantes|farol-snt|interesses|todos-que-engajaram-com-farolpoa|video|caps-haus|social-ads|m6568-16407-1&amp;utm_mmm=:m6568-g16407-p16407[t550]5947:&amp;utm_adid=m6568-16407-1&amp;utm_publisher_id=&amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|22|21|20|23|22|59.0|22|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/agenda/exposicoes/exp_1?utm_mmm=:m6568-g16407-p16407[t550]5947:&utm_adid=m6568-16407-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|1|0|0|3|1|22.0|1|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/agenda/exposicoes/exp_1?utm_mmm=:m6569-g16408-p16408[t550]5948:&utm_adid=m6569-16408-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|21|20|20|23|21|71.0|21|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/agenda/exposicoes/exp_2|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|35|16|21|41|21|610.0|36|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/agenda/exposicoes/exp_3|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|49|8|4|74|9|4154.0|59|2021-02-21 23:33:18.052801|basic|month
12|2020|"/poa/agenda/exposicoes/exp_3?amp;amp;utm_medium=social-ads&amp;amp;utm_campaign=caps|pf|awar|face-stories|farol-snt|cpm|na|snt|rede-social|interesses&amp;amp;utm_content=contemporaneosempre|farol-snt|interesses|artes-e-exposicoes|video|caps-haus|social-ads|m6569-16539-1&amp;amp;utm_mmm=:m6569-g16539-p16539[t550]5948:&amp;amp;utm_adid=m6569-16539-1&amp;amp;utm_publisher_id=&amp;amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|2|2|2|2|2|0.0|2|2021-02-21 23:33:18.052801|basic|month
12|2020|"/poa/agenda/exposicoes/exp_3?amp;utm_medium=social-ads&amp;utm_campaign=caps|pf|awar|face-feeds|farol-snt|cpm|na|snt|rede-social|interesses&amp;utm_content=contemporaneosempre|farol-snt|interesses|artes-e-exposicoes|video|caps-haus|social-ads|m6290-15424-1&amp;utm_mmm=:m6290-g15424-p15424[t550]5680:&amp;utm_adid=m6290-15424-1&amp;utm_publisher_id=&amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|1|1|1|1|1|0.0|1|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/agenda/exposicoes/exp_3?utm_mmm=:m6568-g16223-p16223[t550]5947:&utm_adid=m6568-16223-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|36|35|32|37|36|51.0|36|2021-02-21 23:33:18.052801|basic|month
